id,chinese,tag,money,location,recommendCooks,recommendDrinks,rewardCardName,rewardCardEffect,punishCardName,punishCardEffect
lgl,莉格露,"甜, 生, 肉, 猎奇, 素, 清淡, 凉爽",200 - 400,"妖怪兽道, 魔法森林, 太阳花田, 辉针城","香炸蝉蜕*鸡蛋/蜂蜜/猪肉, 猩红恶魔蛋糕","果味High Ball, 果味SOUR, 淇",灯符「荧光现象」,"喷出大量萤火虫, 让店内气氛更加美妙, 客人刷新时间减少30%, 持续60秒。",蠢符「夜虫龙卷」,赶走当前所有上座的客人且不付钱。
lmy,露米娅,"饱腹, 招牌, 肉, 猎奇, 生, 流行喜爱, 下酒, 昂贵, 流行厌恶",150 - 350,"妖怪兽道, 魔法森林","炸八目鳗*鸡蛋/蝉蜕/南瓜, 豚骨拉面*蝉蜕","淇, 普通健身茶",月符「月光射线」,"随机获得图鉴中记录的三种肉类食材(如图鉴记录的肉类食材只有两种, 则获得两种)。为什么月光会产生肉,为什么最爱吃肉的露米娅会把肉送给你, 考虑这些会变笨。",暗符「境界线」,"在厨房里放出黑雾, 让你无法辨识哪些是厨具, 哪些是食柜, 持续20秒消失。"
c,橙,"重油, 水产, 烧烤, 肉, 流行喜爱, 甜, 猎奇, 灼热, 素, 流行厌恶",400 - 600,妖怪兽道,"烤八目鳗*蜂蜜, 蜜汁叉烧","淇, 梅酒",仙符「凤凰卵」,"随机自动获得三种鱼类食材, 偶然会出现高级货。为什么会产生鱼, 为什么最爱吃鱼的橙会把鱼送给你, 考虑这些会让人变得纠结。",方符「奇门遁甲」,"让顾客开始脑内撸猫, 变的平和。减少了客人的出现率。"
btaq,稗田阿求,"和风, 清淡, 高级, 文化底蕴, 汤羹, 甜, 流行喜爱, 灼热, 流行厌恶, 重油, 咸",500 - 800,"人间之里, 命莲寺","豆腐味噌*蜂蜜, 白雪*蜂蜜","雀酒, 日月星, 水獭祭",撰书「这也全都是妖怪干的吗」,"获得一张名小说家的签名色纸, 可以用来换些特别的东西!",口授「黑心店家的黑心历史」,"被阿求曝光一件经营上的糗事, 导致店内气氛一下掉落到冰点。店里的客人听到这个也会降低心情。"
sbzhy,上白泽慧音,"中华, 素, 家常, 文化底蕴, 清淡, 和风, 流行喜爱, 重油, 大份, 咸, 流行厌恶",400 - 800,"人间之里, 魔法森林, 命莲寺","豆腐味噌, 汤圆","雀酒, 日月星, 水獭祭, 梅酒, 神之麦",国符「三种神器」,"三种神器·剑
随机获得两种蔬菜。
三种神器·镜
接下来的15s内, 料理不会消耗任何材料。
三种神器·玉
打开心灵之锁, 随机解锁一名未完全解锁全部喜好的稀客的一个信息。
三种神器·乡
对你的店大加好评的慧音老师使用特报宣传你的店铺, 吸引了大量居民前来就餐。
--三种神器有四件不是常识吗？",国符「秘笈·头槌」,吃我头槌哒！被慧音老师的头槌击中将会眩晕20秒。上下左右乱打可以快速恢复。
cmhs,茨木华扇,"家常, 文化底蕴, 和风, 下酒, 实惠, 生, 辣",400 - 600,"人间之里, 魔法森林, 旧地狱, 神灵庙","豆腐味噌*土豆, 白雪*萝卜","日月星, 水獭祭, 大吟酿",「猛兽的艺术用法」,"因为华扇很满意你的料理,于是让自己驯养的老虎表演节目助兴,结果你却得到了打赏…！每隔一定时间, 在场排队和就座的客人, 每人随机打赏1-30元。",「断恶修善的禁欲考验」,"客人们被仙人强行带去修行, 没有了世俗的欲望, 在30秒内, 只会点最便宜的食物和绿茶。"
sjlzz,森近霖之助,"家常, 饱腹, 鲜, 流行喜爱, 重油, 猎奇, 下酒, 流行厌恶",250 - 400,"人间之里, 魔法森林, 太阳花田, 辉针城",豚骨拉面*海苔,"超ZUN啤酒, 神之麦",「香霖堂购物节」,"获得一张香霖堂购物7折的打折卡,仅限次日使用,过期作废。",「虚构的情报」,"已经解锁的稀客喜好信息,会随机被隐藏…"
bllm,博丽灵梦,"不可思议, 饱腹, 高级, 实惠, 甜, 流行喜爱, 流行厌恶, 昂贵, 下酒",150 - 300,"妖怪兽道, 人间之里, 博丽神社, 魔法森林, 妖怪之山","炙猪肉饭团*蜂蜜, 无意识妖怪慕斯*南瓜","玉露茶, 冬酿",梦符「二重结界」,"发动一次保护结界, 可以完全防御下一个稀客的惩罚符卡。",灵符「梦想封印」,"发动三色爆炸气团攻击你, 封印你菜单上的三个料理, 在接下来的30秒内, 无法制作。"
yccx,伊吹萃香,"肉, 下酒, 力量涌现, 小巧, 和风, 流行喜爱, 重油, 流行厌恶",600 - 800,"博丽神社, 妖怪之山, 太阳花田, 辉针城","白雪*萝卜, 力量汤*萝卜","天狗踊, 晓",酒吞奥义「鬼进酒」,"出现一只可爱的豆萃香赠送一种酒水给你, 偶然会出现超高级货 。为什么萃香会把自己最爱的酒送给你?因为酒要一起喝更快落。",「百万鬼夜行」,"出现三只可爱的豆萃香,从你的酒柜里偷走三瓶最高级的酒。明明那么可爱,为什么做些可恨的事情呢!!?"
bnmjtz,比那名居天子,"适合拍照, 素, 清淡, 甜, 果味, 传说, 流行厌恶, 昂贵, 家常, 肉, 重油, 流行喜爱",2000 - 3000,"博丽神社, 妖怪之山, 旧地狱, 神灵庙, 太阳花田, 辉针城","毛玉三色冰激凌*葡萄, 大江户船祭","风祝, 教父",「全人类的绯想天」,"源自天界的天人释放的强大能量, 能使全部正在就餐的顾客的心情暴涨至85%。",「天罚的石柱」,"从天而降的要石破坏桌椅, 吓走桌面上的客人, 该桌椅在60s内需要修理, 期间无法再使用, 所以也无法再接待新的客人。"
hml,红美铃,"力量涌现, 中华, 饱腹, 肉, 流行喜爱, 西式, 猎奇, 果味, 流行厌恶",200 - 400,红魔馆,"力量汤*南瓜, 炒肉丝*南瓜","红魔馆红茶, 玉露茶",华符「芳华绚烂」,"吃HIGH了的美铃开始表演杂耍,接下来的30秒内, 每2秒提升1点店内气氛, 且期间稀有客人完成订单后获得的好感度提高!",「NOver say no to pOnday」,"召唤出暴力熊猫,随机摧毁一张桌子,如果桌子上有客人会恐惧跑路,降低10点店内气氛值,而且在90秒内该桌由于修理而无法接待客人。"
qln,琪露诺,"甜, 猎奇, 凉爽, 流行厌恶, 适合拍照, 下酒, 昂贵, 流行喜爱, 文化底蕴",100 - 200 咱!没!钱!,"红魔馆, 妖怪之山","凉菜雕花*蝉蜕, 猩红恶魔蛋糕*冰块","果味High Ball, 果味SOUR, 冰山毛玉冻柠",「甜美的冰霜小妖精」,"随机获得三种带有“可加冰”标签的平价酒水,并且获得2-5枚冰块。",冻符「完美冻结」,"随机冻住3只厨具,如果厨具中有正在制作或完成但还未拿走的料理,则会直接被冻碎,持续30秒。"
pql,帕秋莉,"西式, 甜, 适合拍照, 梦幻, 高级, 生, 灼热, 猎奇, 咸",600 - 1000,"红魔馆, 魔法森林, 地灵殿","无意识妖怪慕斯, 毛玉三色冰激凌","淇, 普通健身茶, 教父",知识的奇妙冒险「文化之风」,"接下来的30秒内,给客人上含有“文化底蕴”标签的料理, 必然获得最高等级的评价 。",金水符「水银之毒」,"接下来制作的料理,有50%概率会变成黑暗料理, 持续30秒。"
tymh,藤原妹红,"辣, 灼热, 燃起来了, 果味, 烧烤, 昂贵, 高级, 不可思议",300 - 600,"妖怪兽道, 迷途竹林","烤蘑菇*葡萄+辣椒, 胡辣汤*葡萄","果味SOUR, 淇",不死「火鸟 凤翼天翔」,"妹红释放的火焰增加了厨具的功率,20秒内所有厨具的料理速度加快50%。",藤原「灭罪寺院伤」,"接下来的30秒,无论提供多好的料理,最高只能获得客人普通的评价。"
plshy,蓬莱山辉夜,"文化底蕴, 传说, 和风, 不可思议, 流行喜爱, 大份, 招牌, 猎奇, 流行厌恶",1000 - 1500,"迷途竹林, 辉针城","白雪*幻昙华, 华光玉煎包*月光草","大吟酿, 十四夜, 月面火箭",「永夜归返 世间开明」,增加相当于现实时间30秒的营业时间。,神宝「蓬莱的玉枝 梦色之乡」,"减少相当于现实时间30秒的营业时间,到时间时会强行终止营业。"
yfd,因幡帝,"甜, 凉爽, 流行喜爱, 梦幻, 传说, 小巧, 猎奇, 重油, 山珍, 流行厌恶",200 - 400,"博丽神社, 红魔馆, 迷途竹林, 魔法森林, 妖怪之山, 旧地狱, 地灵殿, 命莲寺, 神灵庙","毛玉三色冰激凌*幻昙华, 幻昙花糕*冰块","冰山毛玉冻柠, 红柚果汁, 妖精雨露",生机「四十叶草般的幸运」,"所有食材采集点的冷却时间清零,原地复活,并且次日进行采集活动时,可以额外获得1-2份食材。",想起「那年的素兔的恐怖」,"明明已经特别“关照”了你,但是果然还是让你把恐惧刻在DNA里才可以啊,再一次激活强买强卖功能,让你呜呼哀哉。如果胆敢不买,将发动另一张符卡--
恶作剧「Combo消失术」
中断你的Combo,并且在30秒内无法再获得Combo。"
als,爱丽丝,"家常, 甜, 文化底蕴, 高级, 西式, 肉, 重油, 饱腹, 猎奇",500 - 800,"魔法森林, 太阳花田, 辉针城","无意识妖怪慕斯, 毛玉三色冰激凌*土豆","猩红恶魔, 古明地冰激凌",「和人偶一起玩的孩子」,"爱丽丝的人偶幻化为客人, 填充剩余的全部座位。",魔符「狡猾的献祭」,"向厨房丢出一枚魔法瓶, 炸飞一个厨具, 持续60秒。"
wymls,雾雨魔理沙,"重油, 菌类, 和风, 灼热, 流行喜爱, 传说, 猎奇, 流行厌恶",3000 - 5000,"妖怪兽道, 人间之里, 博丽神社, 红魔馆, 迷途竹林, 魔法森林, 妖怪之山, 旧地狱, 地灵殿, 命莲寺, 神灵庙, 太阳花田, 辉针城, 月之都, 魔界","大江户船祭, 华光玉煎包*黄油","十四夜, 猩红恶魔",流星「超级英仙座」,"随机获得三种菌类食材, 偶尔会出现高级货。",魔符「拿来吧你」,"随机偷走2样东西, 可能是食材、料理或酒水。"
stscm,矢田寺成美,"山珍, 文化底蕴, 特产, 清淡, 和风, 饱腹, 重油",300 - 600,"魔法森林, 命莲寺","豆腐味噌, 手握寿司, 幻想佛跳墙","冬酿, 大吟酿",魔符「即席菩提」,"接下来的60秒内, 客人在结账时, 额外会支付50%的小费作为化缘。",地藏「业火教济」,"业火烧掉随机的三个Buff纸张, 其带来的效果也会随之失效。"
dfgzm,东风谷早苗,"梦幻, 甜, 适合拍照, 流行喜爱, 家常, 和风, 猎奇, 生, 重油, 灼热, 流行厌恶",400 - 600,"魔法森林, 妖怪之山, 命莲寺, 神灵庙","毛玉三色冰激凌, 豆腐味噌*蜂蜜","冰山毛玉冻柠, 古明地冰激凌, 月面火箭, 水獭祭",神德「五谷丰穰米之浴」,"引发奇迹之力, 生成三个酒水和三个食材。",奇迹「白昼新星」,"早苗释放五芒星, 使你陷入封印状态, 接下来的30秒内无法获得buff。"
hchq,河城荷取,"下酒, 咸, 水产, 高级, 猎奇, 招牌, 素, 山珍, 文化底蕴",400 - 500,妖怪之山,"秘制小鱼干*蝉蜕+萝卜, 狮子头*蝉蜕+黑盐","水獭祭, 天狗踊",河童「延展手臂」,"接下来的120秒内, 伙伴都可以通过“延展手臂”远程上菜上酒。",水符「山洪暴发」,"引发水患, 招来洪水, 巨大的波浪将会冲走随机3一5名顾客。"
qzh,犬走椛,"肉, 山珍, 下酒, 重油, 大份, 素, 清淡, 猎奇",300 - 400,妖怪之山,"炒肉丝*猪肉, 全肉盛宴*黄油","水獭祭, 天狗踊",「天狗例行小酌」,"接下来的120秒内, 将会有大量白狼天狗客人上门。",「戒严令」,"封锁前往食堂的道路, 禁止任何客人前来, 持续30秒。"
hgsn,黑谷山女,"甜, 鲜, 生, 猎奇, 适合拍照, 流行喜爱, 重油, 咸, 灼热, 流行厌恶",250 - 400,"妖怪兽道, 红魔馆, 魔法森林, 妖怪之山, 旧地狱","猩红恶魔蛋糕*鸡蛋, 兜甲蒸糕*蜂蜜","超ZUN啤酒, 淇, 风祝",「地下偶像狂欢夜」,"接下来的30秒内,排队客人会被偶像吸引,即使本日营业结束也不会离去。",细索「犍陀多绳索」,"被山女的蛛网缠住了!移动速度将会下降80%,持续30秒。"
sqplx,水桥帕露西,"肉, 酸, 辣, 咸, 鲜, 果味, 流行厌恶, 甜, 流行喜爱",300 - 400,旧地狱,"阴郁水果派, 秘制小鱼干*葡萄+猪肉","日月星, 咖啡, 淇",「嫉妒与透支」,"帕露西爆动所有在座客人的嫉妒心,捋所有在座的客人的预算拉到与在座最富客人同等的水准。",恨符「丑时参拜」,"符卡一旦发动,伙伴内心会对你赚钱却不分给她们强烈的嫉妒, 当夜结算时收取翻倍佣金。"
xxyy,星熊勇仪,"招牌, 下酒, 大份, 传说, 和风, 力量涌现, 燃起来了, 流行喜爱, 素, 小巧, 猎奇, 流行厌恶",600 - 1000,"博丽神社, 妖怪之山, 旧地狱, 地灵殿","黄金酥鱼饼*八目鳗+黑毛猪肉, 大江户船祭","超ZUN啤酒, 水獭祭, 教父, 十四夜",「接着奏乐接着舞」,"使用星熊杯将一定数量的酒水升级成更高一级的酒水。
100%升级3杯1级酒水；
75%升级2杯2级酒水；
50%升级1杯3级酒水。",四天王奥义「三步必杀」,"勇仪生成三重警戒圈,限制你的移动,持续60秒。
三步必杀·第一重:安全范围;
三步必杀·第二重·罪人之枷:移动速度下降50%,直到离开范围;
三步必杀·第三重·怪力乱神:进入该范围将被立即击量30秒。"
gmdj,古明地觉,"家常, 小巧, 甜, 梦幻, 力量涌现, 特产, 肉, 大份, 山珍, 猎奇, 灼热",500 - 600,"人间之里, 博丽神社, 红魔馆, 迷途竹林, 魔法森林, 地灵殿","燃尽布丁, 樱花布丁, 麻薯*土豆","咖啡, 普通健身茶",想起「高兴的事情」,随机发动一名已解锁稀客(不包括觉自己)的奖励符卡。,想起「不高兴的事情」,随机发动一名已解锁稀客(不包括觉自己)的惩罚符卡。
hyml,火焰猫燐,"甜, 鲜, 水产, 海味, 梦幻, 猎奇, 流行喜爱, 生, 灼热, 流行厌恶",500 - 700,"人间之里, 博丽神社, 妖怪之山, 旧地狱, 地灵殿, 命莲寺, 神灵庙","猩红恶魔蛋糕, 秘制小鱼干*蜂蜜+蝉蜕, 鱼跃龙门","果味SOUR, 果味High Ball, 淇",猫符「猫醉步」,"接下来的30秒内,给客人上合有“中酒精”标签的酒水, 必然获得最高等级的评价。",「死灰复燃」,"阿燐在离去时,将会在原先的座位上留下一只地底怨灵,继续以阿燐的兴趣爱好点单,地底怨灵无法被主动驱赶,也不会付款,只有按照正常流程进行满足才会消失"
lwlk,灵乌路空,"肉, 重油, 辣, 灼热, 力量涌现, 咸, 清淡, 菌类",500 - 800,"妖怪之山, 地灵殿","力量汤*黑盐+辣椒, 地狱激辛警告!","雀酒, 尼格罗尼",「地狱的托卡马克装置」,"接下来的60秒内,煮锅与蒸锅核功率过载,能瞬间完成料理。",狱光「扩散地狱火」,"下一次没有成功完美演唱的料理,会使该厨具发生核燃炸毁, 当晚无法使用,排队的一部分客人也会被吓得抱头鼠窜。"
ddlxs,多多良小伞,"家常, 饱腹, 甜, 猎奇, 不可思议, 力量涌现, 适合拍照, 流行喜爱, 辣, 灼热, 汤羹",150 - 300,"命莲寺, 辉针城, 太阳花田","猩红恶魔蛋糕*土豆, 烤地瓜*蝉蜕","梅酒, 冬酿",雨符「雨夜怪谈」,"接下来30秒内,带有“猎奇”标签的食物制作速度提高30%且额外提供30%续单率。",「超极巨幻影唐伞」,"小伞让伞妖变大出现在排队区惊吓排队人员, 所有排队中的普通客人被吓跑。"
cssm,村纱水密,"肉, 饱腹, 高级, 力量涌现, 咸, 鲜, 特产, 素, 小巧, 酸, 猎奇",400 - 600,命莲寺,"岩浆*黑盐, 狮子头*黑盐","教父, 雀酒, 鬼杀",「船灵流连不散」,"获得「船幽灵附身」状态,持续15秒,拥有此状态时所获得的其他奖励符卡(不包括此符卡),都将延长有效时间,延长的长度等于获得新符卡时、本符卡的剩余时间。",溺符「深海漩涡」,"脚底引发漩涡潮旋,造成昏厥, 5秒无法行动(可通过上下左右摇杆减少时间),之后的20秒间,上下左右移动方向相反。"
fsy,封兽鵺,"招牌, 肉, 鲜, 生, 猎奇, 特产, 不可思议, 适合拍照, 流行厌恶, 酸, 西式, 流行喜爱",300 - 500,"命莲寺, 太阳花田, 辉针城, 月之都","兜甲蒸糕, 狮子头*黑盐, 惊吓!大冒险","神之麦, 大吟酿, 冬酿",开心「东方红绿蓝」,"开动飞碟转盘,必然中奖,结果为以下四种情况的一个:
红红红:接下来的15秒,无论上什么菜都必然获得最高等级的评价;
绿绿绿:接下来的15秒,食材和酒水不会被消耗;
蓝蓝蓝:接下来的15秒,收入提高100%;
红绿蓝:同时获得以上三种Buff。",恶心「东方红红蓝」,"开动飞碟转盘, 必然Miss,结果为以下四种情况的一个:
红红绿:接下来的15秒,无论上什么菜都必然获得极度不满的评价;
绿绿O:接下来的15秒,食材与酒水消耗量提高到3倍;
蓝蓝O:接下来的15秒,收入减少66%;
红红蓝:同时获得以上三种Buff。"
