id,chinese,tag,money,location,recommendCooks,recommendDrinks,rewardCardName,rewardCardEffect,punishCardName,punishCardEffect
wbbd,物部布都,"清淡, 高级, 传说, 山珍, 燃起来了, 和风, 流行喜爱, 生, 西式, 流行厌恶",600 - 900,神灵庙,"二天一流*松露+露水, 白雪*松露+露水","普通健身茶, 水獭祭",圣童女「太阳神的贡品」,"符卡触发后的10秒内,根据客人评价获得酒水奖励:
「普通」评价获得1级酒水;
「满意」评价获得2级酒水;
「完美」评价获得3级酒水。",传薪「浴火捏盘」,"本符卡发动的30秒内,只能使用1个托盘进行服务。被禁用托盘内的还未拿走的物品会被焚毁。"
hqe,霍青娥,"素, 小巧, 传说, 甜, 不可思议, 特产, 中华, 流行喜爱, 饱腹, 重油",400 - 900,神灵庙,"樱花布丁, 毛玉熔岩豆腐*蜂蜜","淇, 古明地冰激凌, 大吟酿",邪术「天下无墙」,30秒内伙伴在食堂区域移动时可以穿过客人或障碍物。,入魔「走火入魔」,"接下来30秒,稀客进入走火入魔状态,每次结账, 无论评价高低,都有30%概率放一次惩罚符卡。如果本来就放惩罚符卡的情况,则多放一次。"
swtzg,苏我屠自古,"招牌, 家常, 饱腹, 重油, 力量涌现, 烧烤, 和风, 甜, 凉爽",500 - 600,神灵庙,"一击☆必杀*八目鳗, 豆腐味噌*八目鳗","超ZUN啤酒, 教父, 果味SOUR",雷影「电光石火」,"借助电光的加持,30秒内自己和伙伴的移动速度提升30%!",天罚「天雷暴击」,"下一次没有成功完美演唱的料理,将会引来天雷,击晕一个伙伴30秒。"
smww,射命丸文,"招牌, 家常, 肉, 下酒, 适合拍照, 和风, 流行喜爱, 西式, 流行厌恶",500 - 600,"妖怪兽道, 人间之里, 博丽神社, 红魔馆, 迷途竹林, 魔法森林, 妖怪之山, 旧地狱, 地灵殿, 命莲寺, 神灵庙, 太阳花田, 辉针城, 魔界","狮子头*土豆, 大江户船祭","教父, 天狗踊",「八衢潮流风靡幻想」,"使用报纸大肆宣传店铺,明天开始店铺变为“明星店”,3天后恢复正常。
“明星店”:提高10%客人预算与5%客流量,“招牌”标签成为流行标签。
若店铺已是明星店或当晚已宣传,则此符卡转化为「食堂风起厨神无双」成品带有“招牌”标签的今日菜单上的料理将成为明星料理。
制作明星料理时若料理时间小于5秒则瞬间完成;
在舆论的裹挟下, 追捧“流行喜爱”标签的客人食用明星料理后额外提高30%续单率,返还当单酒水消耗的预算, 并100%增加1次续单上限(增加续单上限效果每桌客人只触发一次),持续30秒。",「笔枪纸弹禁制之道」,"引发猛烈的暴风席卷食堂,接下来30秒内无法进行投掷上菜。
同时在报纸上对黑心店铺进行抨击,使明星店加成明天起消失。"
fjyx,风见幽香,"清淡, 高级, 传说, 梦幻, 不可思议, 特产, 西式, 流行喜爱, 饱腹, 咸, 灼热, 和风",1200 - 1800,太阳花田,"露水煮蛋*幻昙华, 幻昙花糕*奶油","猩红恶魔, 风祝, 梅酒",「花鸟风月群芳沐」,"在场上种下一朵鲜花并利用能力使其生长,满心情时额外种下一朵,每朵生长的鲜花每24s生产25小费。
幽香以外的稀客释放奖励符卡时,随机一朵生长的鲜花将吸收符卡之力而盛放,吸引当地出没的稀有客人造访食堂,被鲜花吸引来的稀有客人会摘走这朵鲜花。鲜花盛放期间客人用餐结束后额外提高15心情,15秒后鲜花凋谢,获得1层「落英缀裳」:可以抵挡一次中断Combo的失误。",「决斗Spark!!!!」,"用微笑的表情走到自己所在座位那一排的最上方, 然后一发魔炮将这排所有的桌子轰飞,当夜不可修复,并吓跑所有在这些位置用餐的客人。"
mdx,梅蒂欣,"招牌, 小巧, 甜, 毒, 凉爽, 梦幻, 适合拍照, 菌类, 文化底蕴",200 - 400,太阳花田,"毛玉三色冰激凌*蘑菇/香椿, 香煎双菇肉卷*蜂蜜+冰块","冰山毛玉冻柠, 咖啡",分解「剧毒中和」,"移除「凋雪花园」状态;
梅蒂欣操纵料理中可能存在的有害元素,使料理时的标签不再产生冲突,持续30秒,并立即获得带有“中酒精”标签的酒水1瓶。",铃兰「凋零花园」,"移除「剧毒中和」状态:
制作料理时铃铃会额外为料理追加特殊的“忧郁之毒”标签,食用带有该标签的食物的客人不会续单, 持续30秒。"
smzmw,少名针妙丸,"小巧, 传说, 甜, 燃起来了, 和风, 流行喜爱, 适合拍照, 文化底蕴, 大份, 西式",600 - 1200,辉针城,"海胆刺身, 二天一流*蜂蜜","冬酿, 玉露茶, 海的女儿",宝槌「通货膨胀危机」,"使用万宝槌敲击收银台,叠加1层「万宝槌之力」。万宝槌充盈的魔力将在营业结束时使营业额膨胀,第1层「万宝槌之力」使收入提高7%,之后每层使收入提高2%。",小槌「你给我变大吧」,"在万宝槌释放的魔力的影响下,身体将会被放大到原先的三倍,持续30秒。"
grzx,鬼人正邪,"下酒, 重油, 猎奇, 灼热, 不可思议, 力量涌现, 燃起来了, 流行厌恶, 高级, 流行喜爱",300 - 600,辉针城,"黄金酥鱼饼*蝉蜕, 逆转天地!","日月星, 神之麦",欺符「超限效应」,"发动令事物翻转程度的能力,颠倒客人的喜好,令全场自身以外客人的厌恶标签反转为喜好标签,持续30秒。
当场上包括排队客人在内的普通客人数量之和不少于7时,此符卡转化为逆弓
「天壤梦弓的诏敕」
使场上包括排队客人在内的普通客人额外获得1次续单上限与25%预算,每位普通客人最多可以受到此效果影响3次。",逆转「颠倒世界」,"下克上的阶级反转时间!将自身的预算与全场最高预算水平的客人预算翻转, 并在接下来的15秒内持续将自己以外的全场所有客人的预算降低到全场最低预算客人水平。"
jqyl,今泉影狼,"家常, 肉, 山珍, 凉爽, 适合拍照, 和风, 流行喜爱, 灼热",300 - 600,"迷途竹林, 辉针城","炙猪肉饭团*冰块+竹子, 全肉盛宴","日月星, 水獭祭, 大吟酿",狼魂「野性觉醒」,"唤醒客人内心深处原始的野性,使他们在接下来30秒内爱上“肉”与“山珍”标签,在对料理评分时作为自身的喜好进行评价,原本喜好这些标签的客人食用相关料理时必然触发最高评价。",饿狼「暴食的月下舞踏」,"接下来的30秒内,所有客人的料理如果没有添加“饱腹”标签,会触发最差评价,同时原本厌恶“饱腹”标签的客人,则必然触发最差评价。"
lx,铃仙,"小巧, 中华, 家常, 特产, 甜, 海味, 山珍, 昂贵, 不可思议",200 - 350,月之都,"天师板栗焖菇, 力量汤*蜂蜜+土豆","天狗踊, 果味SOUR",「月免的篝火盛宴」,"召开一场盛大的篝火盛宴,场上每只存在的兔子生成1个随机食材或1瓶随机酒水,接下来30秒内出现新的兔子时会同样生成食材或酒水。生成食材的概率为80%,生成酒水的概率为20%。",「酒醉迷乱」,"铃仙向场上打出一颗狂气之弹,持续影响场上的客人, 狂气持续30秒。受到狂气影响的客人食用高酒精以外的饮料必定给出最低评价。
批注:狂气与狂气之间会发生干涉...是什么意思?"
myfj,绵月丰姬,"甜, 果味, 文化底蕴, 高级, 和风, 凉爽, 素, 流行喜爱, 力量涌现, 山珍, 咸",1200 - 1500,月之都,"白雪*葡萄, 七色羊羹","大吟酿, 教父",方圆「山海千重」,"丰姬连接海与山,链接幻想乡的一个地点,使该区域的普通客人与稀有客人可以穿越“面”前来。
通过丰姬的能力链接的地区刷新效果分别独立, 刷新速率为原先的33%。",晦朔「天地未形」,"丰姬从当地出没稀客以及当晚邀请稀客中随机选择3个还未出现的角色,使她们“神隐”今晚无法前来夜雀食堂。"
myyj,绵月依姬,"文化底蕴, 灼热, 高级, 传说, 清淡, 小巧, 中华, 力量涌现, 菌类, 山珍",1000 - 1200,月之都,"拟尻子玉*幻昙华, 荷花鱼米盏","火鼠裘, 冰山毛玉冻柠, 水獭祭",神诏「众神谕使」,"依姬召唤神灵,附加一层「神耀桂冠」,如果本次提供的料理带有“传说”标签,则额外附加一层。
当稀有客人产生不为完美的评价时,消耗一层「神耀桂冠」引发神迹,将评价提升至完美。",诫罚「诸神圣裁」,"依姬引发神迹将部分传说封印,接下来30秒内, 带有“传说”标签的料理或使用带有“传说”标签的食材制作的料理无法被制作。"
al,爱莲,"家常, 西式, 饱腹, 梦幻, 凉爽, 甜, 重油, 生, 水产",300 - 500,魔界,"毛玉三色冰激凌, 豚骨拉面*蜂蜜","冬酿, 超ZUN啤酒",「恋爱的糖果屋」,"接下来30秒内,当完成场上客人的订单且至少获得普通评价后,在座位附近掉落一枚蓬松松糖果以供拾取。",「乌撒的猫咪」,"苏格拉底威吓场上的伙伴,使他们移动速度下降30%, 工作速度下降50%, 持续30秒。"
mm,魅魔,"鲜, 生, 菌类, 力量涌现, 水产, 山珍, 猎奇, 高级, 清淡",2000 - 3000,魔界,"牛肉鸳鸯火锅, 大江户船祭","尼格罗尼, 鬼杀",「幽冥的轮回」,"如果场上不存在「幽玄封魔阵」则生成法阵,如果存在则为法阵填充2点能量。
「幽玄封魔阵」:魅魔以外的稀客释放任意符卡时, 填充1点能量。能量达到7点时, 消耗全部能量引发梦符「时空一粟」场上所有入座客人的剩余预算回复到上限,接下来20秒内,制作料理不消耗食材且瞬间完成,客人必定给出最高评价。",「渎神的代价」,"受到恶灵缠怨:接下来30秒内无法获得夜雀之歌类Buff,且无法触发特殊厨具效果。"
lyz,露易兹,"特产, 小巧, 甜, 西式, 适合拍照, 水产, 流行喜爱, 饱腹, 重油",800 - 1000,"妖怪兽道, 人间之里, 博丽神社, 红魔馆, 迷途竹林, 魔法森林, 妖怪之山, 旧地狱, 地灵殿, 命莲寺, 神灵庙, 太阳花田, 辉针城, 魔界","毛玉三色冰激凌, 樱花布丁","风祝, 莫吉托爆浆球, 尼格罗尼",「传奇的格列佛」,"露易兹召唤一架魔法相机停留在店内,若稀有客人本尊离开时未吃饱且预算未耗尽,则相机拍下该稀客并转换为一份「旅者博客」。
当日结束后「旅者博客」解放(若拍摄时当日已结束则立即解放), 投影出其拍摄的客人形象再次光临食堂,以此方式形成的稀客影像可以使用符卡,喜好与原先无异,但预算为其离开时的预算,续单上限为其离开时剩余的可点单数。",「遗落的水晶鞋」,"当晚营业结束后, 再经过60s,将会强制驱逐店铺内的客人并关店。"
hpym,魂魄妖梦,"家常, 清淡, 鲜, 力量涌现, 咸, 重油, 猎奇",300 - 400,"妖怪兽道, 人间之里, 博丽神社, 迷途竹林",力量汤*海苔+豆腐,"红魔馆红茶, 梅酒",狱界剑「二百由旬之一闪」,"教授你高超的剑术技巧,在60秒内制作料理台的料理时能瞬间完成。",天上剑「天人之五衰」,"客人耐心衰减速度翻倍,且每2秒减少1点气氛,持续60秒。"
xxsyyz,西行寺幽幽子,"传说, 肉, 高级, 饱腹, 中华, 水产, 和风, 大份, 素, 清淡, 小巧",1300 - 1800,"博丽神社, 红魔馆, 迷途竹林, 神灵庙","大江户船祭, 华光玉煎包*南瓜+南瓜","教父, 晓, 风祝, 十四夜",「食物瞬间消失术」,"接下来直到营业结束为止,客人会瞬间吃下所有的料理。
再次触发时此符卡转化为
「墨染浮櫻化醉蝶」
幽幽子释放1/3/5/8(随使用次数提升)只蝴蝶飞向保温箱,每只蝴蝶吞噬保温箱中存储的一个料理,转化为等同于4倍料理价格的金钱(享受小费倍率加成)。",「加料加量不加价」,"接下来直到营业结束为止,所有的料理不加满5个档位的料,都会收到差评。"
ttym,饕餮尤魔,"肉, 饱腹, 大份, 高级, 传说, 鲜, 生, 不可思议, 力量涌现",9999 - 9999,"妖怪兽道, 博丽神社, 红魔馆, 迷途竹林, 魔法森林, 妖怪之山, 旧地狱, 地灵殿, 命莲寺, 神灵庙, 太阳花田, 辉针城, 月之都, 魔界","大江户船祭, 幻想佛跳墙, 岩浆","火鼠裘, 晓",「饕餮的饕餮之宴」,"所有尤魔意外的客人都只会点最贵的食物与酒水, 且这些订单不消耗预算, 持续30秒。",「刚欲兽神饕餮的晚餐」,"暴走的尤魔将会吞噬掉随机3~5个食材、1~3个酒水,并吞噬1个厨具,使该厨具当晚无法使用。
血池地狱挑战中,会额外恢复5%的HP。"
lmly,蕾米莉亚,"西式, 甜, 生, 高级, 传说, 流行喜爱, 酸, 辣, 咸, 实惠",4950 - 5000,"博丽神社, 红魔馆","无意识妖怪慕斯*鸡蛋, 大江户船祭","果味High Ball, 大吟酿, 教父, 鬼杀",红符「红色不夜城」,"蕾米莉亚以红魔之主的名义在午夜时刻召开盛宴,本日结束时使食堂进入「红色不夜城」状态(若已结束则立即触发),持续至营业结束。
「红色不夜城」：
普通客人的预算不会低于500;
伙伴的工作速度提高100%,如果是咲夜则将工作速度提高至极限;
客人的续单率提高100%;
发动时如果蕾米莉亚本人此时依然在场,则接下来60秒内不会闭店,并以300%的速率继续刷新普通客人。否则在场上的最后一位稀客离开时,依照当晚触发的奖励符卡数量召唤对应数量的妖精女仆前来。",夜符「红雾异变再临」,"蕾米莉亚展现自己的威严,释放血雾覆盖左下角的订单区域,持续60秒。"
gmdl,古明地恋,"甜, 咸, 生, 梦幻, 猎奇, 不可思议, 流行厌恶",800 - 1200,"妖怪兽道, 人间之里, 博丽神社, 红魔馆, 迷途竹林, 魔法森林, 妖怪之山, 旧地狱, 地灵殿, 命莲寺, 神灵庙, 太阳花田, 辉针城, 月之都, 魔界","猩红恶魔蛋糕, 七色羊羹","火鼠裘, 普通健身茶, 教父",「自在极意无意识」,"接下来的60秒内,顾客点单 、吃饭 、店员操作等所有需要冷却时间的动作,全部无冷却、无意识发动,达到理论速度的极限。",「自我极意无意识」,"接下来的60秒内,普客点单全部变成被恋恋遮住的盲单,需要通过查询图鉴喜好来完成。"
eytz,二岩猯藏,"家常, 肉, 水产, 下酒, 传说, 果味, 和风, 流行喜爱, 辣, 灼热",1000 - 1200,"妖怪兽道, 人间之里, 博丽神社, 命莲寺, 神灵庙","白雪, 大江户船祭","火鼠裘, 冬酿",「魔卡小狸十般变化」,"召唤若干狸猫,变化成所有就座客人的样子(不包括猯藏本人),并且重新加入到排队队列中。狸猫变化的客人,喜好与预算和变化对象无异,但所有狸猫变化成的稀有客人整晚只能释放一次变化对象的符卡。",「惩罚无良商家的最好办法」,"接下来的30秒内,收到的都是叶子变成的钱币,晚间结算时才会发现,这期间获得的金钱全部不会成为收入。用叶子付钱的行为真是太可恶了！"
byz,八云紫,"家常, 高级, 猎奇, 凉爽, 传说, 适合拍照, 汤羹, 饱腹, 菌类",4000 - 6000,"妖怪兽道, 人间之里, 红魔馆, 迷途竹林, 魔法森林, 妖怪之山, 旧地狱, 地灵殿, 命莲寺, 神灵庙, 太阳花田, 辉针城, 月之都, 魔界","大江户船祭, 汉宫藏娇","十四夜, 鬼杀, 教父",「人与妖的梦乡」,"在当日结束前触发时,冻结所有剩余时间大于44秒的Buff时间,使之不再减少,直至当日结束。
再次触发或在当日结束后触发, 所有剩余时间大于44秒的Buff时间增加当前剩余时长的10%(每种类型的Buff至多通过此符卡增加17秒)。",「现与隐的境界」,"在场上开启数个会变换位置的隙间,若接近隙间则会被吸入其中,然后随机传送到其他隙间处,同时托盘内的酒水会消失。隙间持续30秒。"
yyl,冴月麟,"水产, 中华, 家常, 辣, 流行喜爱, 生, 重油, 下酒, 流行厌恶",400 - 600,"妖怪兽道, 人间之里, 博丽神社, 红魔馆, 迷途竹林","水饺*辣椒+水产, 水煮鱼*土豆","冰山毛玉冻柠, 妖精雨露","「扶我起来,我还能吃」","在冴月麟的特殊处理下,食物被去除了高热量等有害要素,客人能够更健康的摄入营养,同时体味美食的乐趣,包括排队人物在内的在场所有客人30%增加1次额外续单,每位客人概率独立计算。通过此种方式增加的额外续单将无视预算上限。",「饭要一口一口吃才健康」,"大口吃饭有害身体健康!饭要细嚼慢咽!包括排队人物在内的所有客人,用餐时间增加到200%,但此技能效果优先级低于立刻完食类buff。"
lkx,立空汐,"昂贵, 肉, 山珍, 和风, 下酒, 力量涌现, 流行厌恶, 素, 清淡, 流行喜爱",500 - 800,"妖怪兽道, 博丽神社, 红魔馆, 迷途竹林, 妖怪之山","白雪*萝卜, 幻想佛跳墙",天狗踊,「不玩尽兴还想走?!」,"使用空间能力将在场所有就餐客人封闭起来, 只要顾客还吃得下并且有能消费得起的料理,就必须消费,直到花费额度至少到达预算的70%上限才会解除,在解除前,客人无法离开桌子,只能继续点单。持续60秒。",拷问「頞部陀」,"接下来的120秒内,制作所有含有“清淡”或“素”标签的料理,最终只能做出黑暗料理。"
syy,时焉侑,"文化底蕴, 传说, 中华, 下酒, 西式, 特产, 水产, 饱腹, 重油",1300 - 1800,"人间之里, 博丽神社","诗礼银杏*萝卜, 幻想佛跳墙, 惠灵顿牛排",尼格罗尼,因果「推理与判断之眼」,"通过能力,在120秒内辨识客人的剩余预算与点单次数。",律符「颠倒错乱」,"接下来的60秒间, 无论上的食谱如何合衬客人的心意,得到的评价都是随机的一种。"
mcg,萌澄果,"甜, 肉, 水产, 梦幻, 流行喜爱, 灼热, 猎奇, 流行厌恶",1200 - 1600,"妖怪兽道, 人间之里, 博丽神社, 红魔馆, 迷途竹林, 魔法森林, 妖怪之山, 命莲寺, 神灵庙, 太阳花田, 辉针城, 月之都, 魔界","华光玉煎包*蜂蜜+水产, 鱼跃龙门","冰山毛玉冻柠, 大吟酿, 鬼杀",,,,
bbttdsyj,蹦蹦跳跳的三妖精,"梦幻, 甜, 菌类, 小巧, 家常, 凉爽, 流行喜爱, 生, 灼热, 猎奇, 流行厌恶",300 - 400,"妖怪兽道, 人间之里, 博丽神社, 红魔馆, 迷途竹林, 妖怪之山","毛玉三色冰激凌*土豆, 樱花布丁*土豆","淇, 尼格罗尼, 冰山毛玉冻柠",,,,